ID,X,Y
alab             ,0.319504501,0.281503063
alacrity         ,0.159930803,-0.057169511
alamea           ,0.343353292,-0.000842117
alan             ,-0.811497565,0.268696421
alarm-applet     ,0.018838534,-0.378784711
alarm-x          ,0.646540538,0.384126372
alarmclock       ,0.352140532,-0.778186232
alarmd           ,-0.298105441,-0.509143133
alauda           ,0.465164098,0.014958778
albert           ,-0.295771062,0.275255498
albion           ,0.071132407,0.037705318
albion-tools     ,0.075900958,-0.744972201
albion2          ,0.081087079,-0.744934027
alc900-cups      ,-0.241191609,-0.299892671
alcaiceria       ,0.890516961,0.300547042
alcedo           ,0.598285625,-0.446511261
alchemi          ,-0.263497824,0.42505408
alchemist        ,-0.20998834,-0.711265037
alchemywin       ,-0.425719446,-0.423620097
alchim           ,0.09729215,0.677611121
alcove           ,0.044205082,0.320836946
aldrsoft         ,0.447440719,-0.442430088
ale4net          ,-0.817970705,-0.248719106
aleader          ,-0.249285665,-0.158146626
alephmodular     ,0.116827494,-0.092227403
alesimulator     ,-0.563069522,-0.298875694
alevolutions     ,-0.876766584,-0.152423774
alexandria       ,0.248056896,-0.059042988
alexandriabib    ,0.613650234,0.191701117
alfred           ,-0.059633412,0.00538459
alfve            ,0.358712862,0.243996947
algebradb        ,0.30002111,-0.603811654
algebsql         ,-0.02377495,-0.704952918
algeops          ,0.388581887,-0.584427826
algif            ,-0.437105365,-0.442162965
algog4j          ,-0.744189868,-0.238187333
algosatfreenode  ,0.123400633,0.68061113
alguest          ,0.522256956,-0.203204217
algul            ,-0.428564417,-0.430583822
alhavs           ,-0.896542607,-0.026806688
alibc            ,0.07419331,-0.249062968
alien            ,0.101940256,-0.885971927
alienfluid       ,0.342864772,0.108533079
alife            ,-0.267569693,0.113896127
aline            ,0.396371412,0.120771499
alink            ,-0.090721218,0.166792528
aliquest         ,-0.647561922,-0.14834539
alise            ,-0.661189189,-0.077004468
aliserv          ,0.444904069,-0.058541852
alivar           ,0.295940537,-0.090617965
alive            ,-0.543260227,-0.307435837
aliveie          ,0.986443466,0.078078604
alivejournal     ,-0.150734643,-0.847460529
alkali           ,-0.412729322,0.300408122
alkaline         ,0.058655487,0.063411056
all4one          ,-0.648127683,0.652900365
allcommerce      ,0.48895712,-0.353641607
allefant         ,-0.433755587,-0.444410893
alleg            ,-0.422122404,-0.439480682
allegengine      ,-0.442444137,-0.443363154
allegmc          ,-0.435663775,-0.449872997
allegro          ,-0.433078639,-0.440564098
allegrogl        ,-0.41382084,-0.445096023
allegroserve     ,-0.353880991,0.262735409
allergen         ,0.14739276,0.51444799
alleyoop         ,0.228030015,-0.08690267
alliance         ,0.457137283,-0.213197806
allocator        ,-0.352210067,0.159983971
alloff           ,-0.137873588,-0.713384787
allscripts       ,0.594143422,-0.262593307
allusions        ,-0.479700065,-0.234241873
allyjack         ,0.526186361,0.018621045
allyourbuilds    ,0.574479284,0.127495559
almara           ,0.06467099,-0.473047826
almuists         ,0.234708544,-0.73205867
aloe             ,0.127090967,-0.327933277
alones           ,0.149845084,-0.000561103
alpaga           ,-0.052354647,-0.62306055
alpha-waves      ,-0.099113491,0.069726386
alphabeta        ,0.356190701,-0.436931424
alphaedit3       ,-0.700503549,-0.347259893
alphashooter     ,-0.835604943,-0.269082937
alphasoft        ,-0.701713686,-0.341914
alphatcl         ,-0.443354034,0.3553502
alphatomorrow    ,0.044773273,-0.533344606
alphawhite       ,-0.079308842,-0.700132728
alpine           ,-0.294846225,0.224396919
alpp             ,-0.204202064,-0.563392568
alpy             ,-0.348753942,-0.129113231
alqua            ,0.260667991,0.349883618
alsa             ,-0.207882969,-0.220273631
alsaplayer       ,-0.268954467,-0.429630345
alsub            ,-0.353914162,-0.455969089
altogether       ,-0.265027406,-0.408826042
altosdev         ,-0.098247117,-0.691310748
altrmi-plugins   ,0.129984486,0.544289225
alumni           ,-0.036054688,-0.671277028
alvin            ,-0.332415637,0.849336549
alvyn            ,0.312678371,-0.437360983
alx3000          ,0.128554506,0.517868504
alzabo           ,0.226757774,0.286285274
alzheimer        ,0.744553359,0.33416019
am1-synthesizer  ,-0.288537048,-0.238588971
ama              ,0.62103317,-0.351706268
amaart           ,0.005720587,-0.69058989
amadeus-ce       ,-0.510828088,0.241350024
amail            ,-0.366990882,-0.039123453
amake            ,-0.72661409,-0.297534529
amaker           ,0.352661798,-0.481580562
amaltasy         ,0.221088384,-0.180366559
amanda           ,-0.092339266,-0.559474174
amanda-win32     ,0.237174935,-0.063895233
amarok           ,-0.0465575,-0.642763329
amas             ,0.213271873,0.031175882
amavis           ,-0.257637012,-0.553087174
amavis-n-parser  ,0.132763811,0.3523266
amaze            ,-0.260181419,0.448341914
amazighfonts     ,0.299944092,-0.005362785
amazonlib        ,0.363824471,0.104902252
ambassador       ,-0.752827138,0.038059424
amber            ,-0.294949356,-0.238234708
amberarcher      ,-0.12515714,-0.735037392
amberfisharts    ,-0.432406978,-0.468430156
amberle          ,-0.347362035,0.683853449
amberworld       ,0.080524242,-0.733809157
ambientjava      ,0.234506024,-0.560635945
ambiprocessor    ,-0.208503938,-0.437066403
ambulant         ,-0.093042002,0.697917935
amc              ,-0.681616622,-0.071320348
amcl             ,-0.202652903,-0.024216077
amesit           ,0.672655019,-0.180400047
amfdata          ,0.666076628,0.452691973
amfphp           ,0.666082066,0.460574817
amfsharp         ,-0.013892807,0.429115042
amiens           ,0.500789582,-0.103399347
amiflinker       ,-0.138013282,-0.111320512
amiga            ,-0.722529851,0.023796341
amiga-smbfs      ,-0.751290572,0.050527181
amigaide         ,-0.755548551,0.044168116
amigaone-linux   ,-0.741117186,0.044130815
amigeek2         ,-0.711993871,-0.007236696
amigeekornot     ,0.463698564,0.339200297
amigift          ,-0.714865428,0.024907025
amigtk           ,-0.606298323,-0.017954765
amiopenoffice    ,-0.745825299,0.047434381
amiprotocol      ,0.463549017,-0.701865744
amirc-wallchop   ,-0.764193703,0.031302581
amis             ,-0.086875632,0.713113358
amizilla         ,-0.765925057,0.036313348
amoebarpg        ,0.072714439,0.820298788
amorph           ,-0.530477761,0.278565846
amorphous        ,0.149541989,-0.765424958
amos             ,-0.674277382,0.515011501
amp11            ,-0.64124651,0.441828696
ampedreports     ,0.149494113,-0.525320615
ampersand        ,-0.115267246,0.76253903
amphetadesk      ,0.15625491,0.281441373
amphibian        ,-0.739611198,0.273453402
amportal         ,0.309532139,-0.505693254
amptimes         ,-0.321139284,-0.155010925
amrc             ,0.71841583,-0.091064916
amrss            ,-0.750968634,-0.020048568
ams              ,0.103774306,-0.149688954
amsel            ,0.418246396,-0.122677682
amsn             ,-0.254687288,-0.478327769
amster           ,-0.754609223,0.026820257
amsterdam        ,0.653044704,-0.148301281
amule            ,0.529306781,-0.547933743
amuru            ,0.45031921,-0.365758444
amvcodec         ,0.365386527,-0.241381322
amxmodx          ,-0.471619727,0.848646673
amy              ,0.145020396,0.76029355
anabot           ,-0.472921001,-0.48870036
anacron          ,-0.148545608,-0.283201428
anaesthesia      ,0.842708042,0.13587523
analogosx        ,0.875460473,0.247374636
analyzer         ,0.672522283,0.011746013
anarbb           ,0.617243583,-0.417925178
anarchism        ,-0.499992766,0.255709333
anarchist        ,0.194391432,-0.126541178
anarchyoffline   ,0.348893511,-0.66185204
anasm            ,0.181377924,0.25219392
anathema         ,0.273748876,-0.835959985
anatoliamud      ,0.607652121,-0.079154678
anaxagora        ,0.378554057,0.518804215
ancosohr         ,0.382012176,0.456531719
and              ,-0.36595593,0.143877346
and-httpd        ,-0.190423042,-0.251057794
andaluz          ,-0.544185738,-0.477423921
andante          ,0.025332385,0.462063663
andecerto        ,-0.363246338,0.724236955
andi             ,-0.510677794,0.518410334
andimap          ,0.514880503,0.198054617
andrea           ,-0.734969725,-0.34722348
andrea-upnp      ,0.358813773,0.788299971
andrewquiz       ,-0.046483079,-0.443879242
andromda         ,0.171226535,-0.58227597
andromdaplugins  ,0.170857645,-0.585001567
andromeda-gui    ,-0.105477189,-0.58524084
andrq            ,-0.515570871,-0.022173172
anet             ,0.284693339,-0.058483232
aneuronalnet     ,-0.301604115,0.221626421
aneyetvimporter  ,0.293258705,-0.005985294
angelion-tdc     ,0.129938781,0.059220498
angellib         ,-0.068447201,0.154316276
angie            ,0.485196914,0.275132876
angkor           ,0.175703347,0.548541546
angn             ,0.649705701,-0.122710876
ani              ,-0.308052189,0.519135157
aniclient        ,-0.011276709,-0.012430564
anifast          ,-0.553064287,-0.283084164
anikas           ,0.76410586,-0.349490741
anima            ,-0.229261427,-0.38572191
animal           ,-0.595841806,-0.098383539
animalshelter    ,0.803500381,0.525217349
animaniac        ,0.445411968,-0.214439475
animator         ,0.489753885,-0.308738683
animedownloader  ,-0.589080099,0.570189355
animemgr         ,0.077438304,0.126375278
animl            ,-0.507122753,0.518654993
aniscript        ,-0.307332716,0.515641133
anitoolbox       ,0.110349753,-0.225607338
anjuta           ,-0.489293624,0.090870092
anjuta-extras    ,0.568040064,0.015213687
anka             ,0.271372746,0.375690734
ann-lib          ,-0.174728428,-0.097924854
annabot          ,0.724441328,-0.131225211
annass           ,0.217800661,-0.438660523
annevolve        ,0.439310598,-0.584465805
annmadocs        ,0.05613137,-0.256643721
annotationquery  ,-0.69138771,0.422522537
announce         ,-0.752150039,0.282695349
announcelist     ,-0.04932327,-0.818620341
anobe            ,-0.448158321,0.422609996
anoid            ,0.450205629,-0.404022249
anon             ,0.230025395,-0.586290731
anoninbox        ,-0.451994397,0.009613968
anonproxyserver  ,-0.601185117,0.596110676
anonvelope       ,-0.005042934,0.752904671
anotherpos       ,-0.542806002,-0.340843676
anounce          ,-0.068245361,-0.849619236
anpj             ,-0.31449712,0.504872018
ansa             ,0.509111548,0.560965418
ansere           ,0.7520185,0.172420457
ansi-st-tests    ,0.362121449,0.351370995
ansiprint        ,0.832380271,-0.032622854
answerd          ,-0.347425584,-0.038999424
ant-contrib      ,0.058043952,0.489863991
ant-doxygen      ,0.41713782,0.303488127
ant-pvcs-75      ,0.561484022,-0.123168625
ant-tailor       ,-0.053071034,0.833023894
ant4jb           ,-0.457846805,0.347122735
antab            ,-0.000880796,-0.437038213
antaean          ,0.015194762,-0.039709658
antares          ,0.214935936,0.053614499
antbook          ,-0.717102438,0.396990055
antcontrib       ,-0.500830535,0.615119956
antcount         ,0.195361836,0.704754119
ante             ,0.136508965,0.022481312
anteater         ,0.06336842,0.396303725
antelope         ,0.045068266,0.454678112
antenna          ,0.340954639,0.589390826
antextras        ,-0.278400225,0.669309144
antfarmer        ,0.228023954,-0.079260533
antforms         ,0.188668018,0.698815128
antgui           ,0.587544731,0.243085804
antheap          ,-0.199711409,0.559238374
anthem-dot-net   ,0.142954095,0.481988195
anthemirc        ,0.703598428,-0.193322655
anthos           ,0.273907751,-0.148398503
antidrone        ,-0.277092892,-0.700693352
antifact         ,-0.246193554,0.314377343
antigrator       ,0.698779526,0.364700331
